Construction Type,Building Area (sq ft),Number of Floors,Number of Rooms,Number of Bathrooms,Flooring Type,Ceiling Height,Roof Type,Foundation Type,Company,Labor Charges,Bid Amount,Project Duration (Months)
Industrial,4785,5,5,4,Tile,12,Gabled,Basement,Company A,42120,156052,13
Residential,2195,8,1,3,Wood,10,Flat,Basement,Company B,18486,107393,10
Industrial,4488,6,6,2,Wood,12,Flat,Slab,Company C,40144,380333,35
Industrial,1399,4,13,3,Tile,8,Pitched,Crawl Space,Company A,43170,198883,13
Residential,1313,3,11,2,Tile,8,Gabled,Basement,Company B,15533,263184,27
Residential,1866,6,11,3,Carpet,9,Flat,Basement,Company D,32026,340245,28
Industrial,3686,1,5,4,Wood,14,Gabled,Slab,Company A,42584,490118,14
Commercial,3453,2,7,4,Wood,10,Gabled,Slab,Company C,38345,351424,12
Industrial,1888,7,7,3,Tile,13,Gabled,Crawl Space,Company B,10319,287668,23
Industrial,3314,4,4,1,Carpet,8,Pitched,Basement,Company B,49064,435272,19
Industrial,4769,5,5,2,Wood,9,Flat,Basement,Company D,47491,331792,13
Industrial,4084,1,10,1,Tile,8,Flat,Basement,Company D,40538,237344,6
Residential,2996,2,14,1,Tile,9,Flat,Basement,Company A,27945,136250,22
Industrial,4983,4,8,3,Tile,12,Pitched,Basement,Company A,26277,441505,31
Commercial,1589,8,2,2,Tile,9,Pitched,Crawl Space,Company A,18587,285151,11
Residential,4275,4,1,2,Tile,13,Pitched,Basement,Company D,40921,324946,19
Commercial,3953,3,14,4,Wood,12,Pitched,Slab,Company A,43519,478493,29
Commercial,2464,3,6,3,Wood,11,Flat,Basement,Company A,42638,105493,31
Commercial,2109,5,11,3,Carpet,8,Pitched,Basement,Company B,48784,162186,22
Commercial,1664,3,14,3,Tile,11,Flat,Basement,Company A,23476,111189,22
Residential,4663,8,4,4,Carpet,10,Gabled,Basement,Company A,13817,356585,17
Residential,4163,5,13,4,Tile,11,Flat,Basement,Company D,49544,437309,26
Commercial,4324,7,10,2,Tile,14,Gabled,Crawl Space,Company A,47979,258174,21
Commercial,4586,8,3,4,Tile,9,Pitched,Slab,Company C,23253,433282,8
Residential,823,5,7,3,Carpet,9,Gabled,Crawl Space,Company D,37071,233359,31
Residential,3803,8,8,3,Tile,10,Pitched,Slab,Company B,19132,196396,31
Residential,1110,3,11,1,Carpet,10,Flat,Slab,Company A,19372,140679,22
Industrial,2031,7,12,4,Wood,8,Flat,Slab,Company B,49051,443080,7
Industrial,4588,8,4,3,Tile,14,Pitched,Basement,Company B,49382,305770,18
Industrial,3511,7,12,3,Carpet,9,Flat,Crawl Space,Company A,39758,391160,19
Commercial,1221,2,12,2,Wood,14,Gabled,Slab,Company C,25665,160406,9
Industrial,2573,8,10,4,Tile,14,Gabled,Slab,Company C,40447,456025,35
Commercial,4368,6,12,3,Wood,10,Gabled,Basement,Company B,18352,227820,29
Commercial,1746,3,11,2,Tile,14,Pitched,Basement,Company A,20269,322605,11
Industrial,1986,4,11,1,Carpet,13,Gabled,Crawl Space,Company B,13491,476872,25
Commercial,2634,7,6,1,Tile,14,Gabled,Slab,Company D,21618,265301,28
Industrial,2364,3,13,2,Tile,11,Gabled,Slab,Company B,13078,346533,14
Industrial,2747,1,11,4,Carpet,14,Gabled,Slab,Company D,36614,245965,19
Residential,2108,6,11,3,Carpet,9,Gabled,Crawl Space,Company A,20778,214892,27
Industrial,3786,3,2,4,Carpet,14,Gabled,Basement,Company C,15266,174624,22
Residential,1186,6,8,2,Tile,13,Pitched,Basement,Company B,44207,308379,13
Industrial,1961,3,6,3,Wood,14,Gabled,Crawl Space,Company B,38525,485820,24
